"STATION","NAME","DATE","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-01",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-02","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-08","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-13","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-14",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-15",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-16","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-17","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-22",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-23",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-24","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-25","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-26","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-01-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-01",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-02","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-08","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-13","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-15","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-16","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-17","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-18","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-19",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-20","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-21",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-22",,,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-24",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-25",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-26",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-27",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-02-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-04","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-05","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-06","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-08",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-10","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-12","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-13","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-14","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-15","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-16","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-17",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-22","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-24",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-25",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-26",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-27",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-03-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-01","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-05",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-06","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-07","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-08","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-09","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-10",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-16","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-17",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-22",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-24",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-25","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-26","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-29","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-04-30","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-01","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-04",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-06","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-08","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-09","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-10","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-16",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-17","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-18","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-22",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-23",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-24",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-25",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-26","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-27","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-28","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-29","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-05-31",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-03",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-04","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-05",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-06",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-07",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-08",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-09",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-10",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-11",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-12",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-13",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-14",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-15",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-16",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-17",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-18",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-19",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-20",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-21",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-22","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-23","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-24","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-25",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-26","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-27","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-28",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-29",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-06-30",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-01",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-02",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2020-07-03",,,,
